,Date
2021-12-31,8.221571160810146
2022-12-31,8.050515895401524
2020-12-31,7.828507997743526
2019-12-31,7.1388277255108905
2018-12-31,6.289010609065929
2017-12-31,5.812239550161047
2016-12-31,5.493785598602442
2015-12-31,5.202627700034575
2014-12-31,4.918748748930905
2013-12-31,4.740414536058086
2012-12-31,4.474732953614907
2011-12-31,4.187214528779139
2010-12-31,3.8851382090149764
2009-12-31,3.6940658380798137
2022-06-30,0.3748657944061289
2021-06-30,0.36940658380798136
2020-06-30,0.36394737320983384
2021-09-30,0.3457500045493422
2019-06-30,0.34029079395119466
2022-09-30,0.333011846486998
2020-09-30,0.333011846486998
2021-03-31,0.32209342529070295
2018-09-30,0.3166342146925555
2022-03-31,0.3166342146925555
2019-09-30,0.3148144778265063
2018-06-30,0.31117500409440796
2020-03-31,0.30389605663021124
2017-06-30,0.30025658289811297
2017-09-30,0.30025658289811297
2016-06-30,0.2947973722999654
2016-09-30,0.29297763543391625
2015-06-30,0.29115789856786706
2014-06-30,0.2856986879697196
2014-09-30,0.2856986879697196
2019-03-31,0.28387895110367045
2015-09-30,0.28023947737157207
2013-06-30,0.27478026677342454
2018-03-31,0.2711407930413262
2013-09-30,0.26204210871108036
2011-09-30,0.2602223718450312
2012-09-30,0.2602223718450312
2011-06-30,0.2602223718450312
2012-06-30,0.258402634978982
2017-03-31,0.2547631612468837
2010-09-30,0.25112368751478537
2020-01-31,0.24566447691663787
2022-01-31,0.2438447400505887
2021-01-31,0.2438447400505887
2016-03-31,0.2438447400505887
2023-01-31,0.24202500318453954
2010-06-30,0.24202500318453954
2009-09-30,0.24020526631849032
2015-03-31,0.236565792586392
2009-06-30,0.23292631885429368
2014-03-31,0.23292631885429368
2013-03-31,0.22200789765799864
2019-01-31,0.21836842392590033
2011-03-31,0.214728950193802
2018-01-31,0.21290921332775278
2012-03-31,0.21290921332775278
2010-03-31,0.2074500027296053
2017-01-31,0.19835131839935943
2009-03-31,0.19107237093516277
2016-01-31,0.18561316033701528
2015-01-31,0.1783342128728186
2014-01-31,0.17469473914072026
2013-01-31,0.16377631794442524
2012-01-31,0.15649737048022858
2011-01-31,0.1492184230160319
2010-01-31,0.13830000181973687
2009-01-31,0.13284079122158934
2021-10-31,0.09098684330245846
2022-10-31,0.0891671064364093
2020-10-31,0.08734736957036013
2019-10-31,0.08370789583826178
2018-10-31,0.08006842210616344
2021-04-30,0.07824868524011429
2016-10-31,0.07642894837406511
2017-10-31,0.07642894837406511
2022-04-30,0.07642894837406511
2015-10-31,0.07460921150801594
2014-10-31,0.07460921150801594
2020-04-30,0.07278947464196676
2019-04-30,0.07096973777591761
2009-10-31,0.07096973777591761
2020-08-31,0.07096973777591761
2013-10-31,0.07096973777591761
2012-10-31,0.07096973777591761
2010-10-31,0.06915000090986843
2013-04-30,0.06915000090986843
2019-08-31,0.06915000090986843
2021-08-31,0.06915000090986843
2011-10-31,0.06915000090986843
2014-04-30,0.06733026404381927
2018-08-31,0.06733026404381927
2018-04-30,0.06551052717777009
2017-04-30,0.06551052717777009
2015-04-30,0.06551052717777009
2016-04-30,0.06369079031172092
2017-08-31,0.06369079031172092
2022-08-31,0.06369079031172092
2012-04-30,0.06187105344567176
2011-04-30,0.06187105344567176
2009-04-30,0.06005131657962258
2010-04-30,0.06005131657962258
2009-05-31,0.05823157971357342
2016-08-31,0.05823157971357342
2015-05-31,0.05641184284752424
2019-07-31,0.05641184284752424
2014-05-31,0.05641184284752424
2011-05-31,0.05641184284752424
2012-05-31,0.05641184284752424
2010-05-31,0.054592105981475084
2018-07-31,0.054592105981475084
2017-07-31,0.054592105981475084
2013-05-31,0.054592105981475084
2014-08-31,0.054592105981475084
2013-08-31,0.054592105981475084
2012-08-31,0.052772369115425904
2020-07-31,0.052772369115425904
2011-08-31,0.052772369115425904
2015-08-31,0.052772369115425904
2022-07-31,0.052772369115425904
2021-07-31,0.052772369115425904
2016-07-31,0.05095263224937674
2016-05-31,0.05095263224937674
2021-05-31,0.05095263224937674
2010-08-31,0.04913289538332757
2015-07-31,0.04913289538332757
2009-08-31,0.04913289538332757
2011-07-31,0.04913289538332757
2020-05-31,0.04913289538332757
2022-05-31,0.04913289538332757
2010-07-31,0.0473131585172784
2014-07-31,0.0473131585172784
2020-02-29,0.0473131585172784
2021-02-28,0.0473131585172784
2019-05-31,0.0473131585172784
2022-02-28,0.0473131585172784
2017-05-31,0.0473131585172784
2013-07-31,0.04549342165122923
2018-05-31,0.04549342165122923
2009-07-31,0.04549342165122923
2019-02-28,0.04549342165122923
2012-07-31,0.04549342165122923
2016-02-29,0.04185394791913089
2017-02-28,0.04185394791913089
2012-02-29,0.04003421105308172
2018-02-28,0.04003421105308172
2010-02-28,0.038214474187032554
2011-02-28,0.038214474187032554
2014-02-28,0.038214474187032554
2015-02-28,0.038214474187032554
2013-02-28,0.03639473732098338
2010-11-30,0.03639473732098338
2018-11-30,0.03457500045493422
2019-11-30,0.03457500045493422
2012-11-30,0.03457500045493422
2009-02-28,0.03457500045493422
2021-11-30,0.03457500045493422
2022-11-30,0.03457500045493422
2009-11-30,0.03457500045493422
2020-11-30,0.03457500045493422
2011-11-30,0.032755263588885045
2017-11-30,0.032755263588885045
2016-11-30,0.032755263588885045
2015-11-30,0.032755263588885045
2014-11-30,0.032755263588885045
2013-11-30,0.032755263588885045
2023-02-28,0.03093552672283588
2023-03-31,0.01819736866049169
